id;wkt
1;LINESTRING(900675 1.94494e+06 1215.5,900678 1.94495e+06 1215.5,900682 1.94496e+06 1215.5,900693 1.94498e+06 1215.5)
2;LINESTRING(901456 1.94498e+06 1215.5,901464 1.94496e+06 1215.5,901470 1.94495e+06 1215.5,901472 1.94495e+06 1215.5,901475 1.94494e+06 1215.5,901480 1.94493e+06 1215.5,901481 1.94492e+06 1215.5,901486 1.94491e+06 1215.5,901487 1.9449e+06 1215.5,901489 1.94489e+06 1215.5,901488 1.94488e+06 1215.5,901488 1.94486e+06 1215.5,901486 1.94485e+06 1215.5,901486 1.94484e+06 1215.5,901485 1.94482e+06 1215.5,901484 1.94481e+06 1215.5,901485 1.9448e+06 1215.5,901487 1.94479e+06 1215.5,901499 1.94478e+06 1215.5,901499 1.94477e+06 1215.5,901500 1.94477e+06 1215.5,901522 1.94477e+06 1215.5,901525 1.94477e+06 1215.5,901535 1.94478e+06 1215.5)
3;LINESTRING(901825 1.9449e+06 1215.5,901825 1.9449e+06 1215.5,901825 1.9449e+06 1215.5,901831 1.94492e+06 1215.5,901832 1.94493e+06 1215.5,901835 1.94495e+06 1215.5,901836 1.94496e+06 1215.5,901838 1.94498e+06 1215.5)
4;LINESTRING(902022 1.94498e+06 1215.5,902024 1.94497e+06 1215.5,902025 1.94497e+06 1215.5,902038 1.94496e+06 1215.5,902050 1.94496e+06 1215.5,902055 1.94495e+06 1215.5,902075 1.94495e+06 1215.5,902078 1.94495e+06 1215.5,902100 1.94495e+06 1215.5,902106 1.94496e+06 1215.5,902125 1.94496e+06 1215.5,902140 1.94497e+06 1215.5,902150 1.94497e+06 1215.5,902161 1.94498e+06 1215.5)
5;LINESTRING(903700 1.94494e+06 1215.5,903723 1.94495e+06 1215.5,903725 1.94495e+06 1215.5,903726 1.94495e+06 1215.5,903729 1.94495e+06 1215.5,903746 1.94495e+06 1215.5,903750 1.94495e+06 1215.5,903767 1.94494e+06 1215.5,903775 1.94494e+06 1215.5,903798 1.94495e+06 1215.5,903800 1.94495e+06 1215.5,903803 1.94495e+06 1215.5,903825 1.94496e+06 1215.5,903846 1.94498e+06 1215.5)
6;LINESTRING(910099 1.94498e+06 1215.5,910099 1.94497e+06 1215.5,910100 1.94497e+06 1215.5,910105 1.94495e+06 1215.5,910107 1.94495e+06 1215.5,910112 1.94494e+06 1215.5,910120 1.94492e+06 1215.5,910122 1.94492e+06 1215.5,910125 1.94492e+06 1215.5,910133 1.94491e+06 1215.5,910139 1.9449e+06 1215.5,910143 1.94489e+06 1215.5,910148 1.94488e+06 1215.5,910149 1.94487e+06 1215.5,910150 1.94486e+06 1215.5,910151 1.94485e+06 1215.5,910152 1.94485e+06 1215.5,910154 1.94483e+06 1215.5,910154 1.94482e+06 1215.5,910157 1.94481e+06 1215.5,910158 1.9448e+06 1215.5,910160 1.94478e+06 1215.5,910163 1.94478e+06 1215.5,910160 1.94476e+06 1215.5,910164 1.94475e+06 1215.5,910150 1.94473e+06 1215.5,910145 1.94472e+06 1215.5,910125 1.94472e+06 1215.5,910000 1.94471e+06 1215.5,910016 1.94472e+06 1215.5,910025 1.94473e+06 1215.5,910027 1.94473e+06 1215.5,910050 1.94473e+06 1215.5,910050 1.94473e+06 1215.5,910052 1.94472e+06 1215.5,910069 1.94472e+06 1215.5,910075 1.94472e+06 1215.5,910090 1.94471e+06 1215.5,910100 1.94471e+06 1215.5,910115 1.94472e+06 1215.5)
7;LINESTRING(910772 1.94498e+06 1215.5,910773 1.94497e+06 1215.5,910775 1.94497e+06 1215.5,910778 1.94495e+06 1215.5,910778 1.94495e+06 1215.5,910779 1.94493e+06 1215.5,910779 1.94492e+06 1215.5,910779 1.9449e+06 1215.5,910780 1.9449e+06 1215.5,910782 1.94488e+06 1215.5,910783 1.94488e+06 1215.5,910782 1.94486e+06 1215.5,910784 1.94485e+06 1215.5,910780 1.94483e+06 1215.5,910780 1.94482e+06 1215.5,910776 1.9448e+06 1215.5,910776 1.9448e+06 1215.5,910782 1.94478e+06 1215.5,910784 1.94478e+06 1215.5,910788 1.94476e+06 1215.5,910792 1.94475e+06 1215.5,910794 1.94474e+06 1215.5,910800 1.94473e+06 1215.5,910801 1.94473e+06 1215.5,910801 1.94472e+06 1215.5,910811 1.94471e+06 1215.5,910825 1.9447e+06 1215.5,910826 1.9447e+06 1215.5,910828 1.9447e+06 1215.5,910842 1.94469e+06 1215.5,910850 1.94469e+06 1215.5,910857 1.94468e+06 1215.5,910864 1.94468e+06 1215.5,910869 1.94467e+06 1215.5,910875 1.94466e+06 1215.5,910878 1.94465e+06 1215.5,910879 1.94465e+06 1215.5,910878 1.94463e+06 1215.5,910877 1.94462e+06 1215.5,910875 1.94462e+06 1215.5,910867 1.9446e+06 1215.5,910860 1.94458e+06 1215.5,910855 1.94458e+06 1215.5,910850 1.94457e+06 1215.5,910837 1.94455e+06 1215.5,910825 1.94454e+06 1215.5,910808 1.94452e+06 1215.5,910800 1.94452e+06 1215.5,910783 1.9445e+06 1215.5,910775 1.94449e+06 1215.5,910768 1.94448e+06 1215.5,910756 1.94446e+06 1215.5,910752 1.94445e+06 1215.5,910750 1.94445e+06 1215.5,910739 1.94442e+06 1215.5,910738 1.94441e+06 1215.5,910738 1.9444e+06 1215.5,910741 1.94439e+06 1215.5,910750 1.94438e+06 1215.5,910752 1.94438e+06 1215.5,910754 1.94438e+06 1215.5,910766 1.94437e+06 1215.5,910775 1.94436e+06 1215.5,910781 1.94436e+06 1215.5,910792 1.94435e+06 1215.5,910797 1.94435e+06 1215.5,910800 1.94435e+06 1215.5,910813 1.94434e+06 1215.5,910825 1.94433e+06 1215.5,910829 1.94433e+06 1215.5,910837 1.94432e+06 1215.5,910845 1.94432e+06 1215.5,910850 1.94432e+06 1215.5,910861 1.94431e+06 1215.5,910875 1.9443e+06 1215.5,910878 1.9443e+06 1215.5,910883 1.9443e+06 1215.5,910893 1.94429e+06 1215.5,910900 1.94429e+06 1215.5,910910 1.94428e+06 1215.5,910925 1.94428e+06 1215.5,910926 1.94428e+06 1215.5,910928 1.94428e+06 1215.5,910942 1.94427e+06 1215.5,910950 1.94426e+06 1215.5,910958 1.94426e+06 1215.5,910970 1.94425e+06 1215.5,910972 1.94425e+06 1215.5,910975 1.94424e+06 1215.5,910985 1.94423e+06 1215.5,910992 1.94422e+06 1215.5,910994 1.94422e+06 1215.5,911000 1.94421e+06 1215.5,911003 1.9442e+06 1215.5,911004 1.9442e+06 1215.5,911007 1.94418e+06 1215.5,911010 1.94418e+06 1215.5,911007 1.94416e+06 1215.5,911007 1.94415e+06 1215.5,911000 1.94414e+06 1215.5,910986 1.94412e+06 1215.5,910975 1.94412e+06 1215.5,910964 1.94411e+06 1215.5,910950 1.94411e+06 1215.5)
8;LINESTRING(913825 1.94492e+06 1215.5,913829 1.94492e+06 1215.5,913831 1.94493e+06 1215.5,913837 1.94495e+06 1215.5,913839 1.94496e+06 1215.5,913840 1.94498e+06 1215.5)
9;LINESTRING(915411 1.94498e+06 1215.5,915415 1.94497e+06 1215.5,915421 1.94495e+06 1215.5,915422 1.94495e+06 1215.5,915425 1.94494e+06 1215.5,915432 1.94493e+06 1215.5,915439 1.94492e+06 1215.5,915444 1.94492e+06 1215.5,915450 1.94491e+06 1215.5,915459 1.94491e+06 1215.5,915475 1.9449e+06 1215.5,915476 1.9449e+06 1215.5,915477 1.9449e+06 1215.5,915494 1.94489e+06 1215.5,915500 1.94489e+06 1215.5,915512 1.94489e+06 1215.5,915525 1.94488e+06 1215.5,915529 1.94488e+06 1215.5,915535 1.94488e+06 1215.5,915544 1.94487e+06 1215.5,915550 1.94487e+06 1215.5,915558 1.94486e+06 1215.5,915565 1.94485e+06 1215.5,915570 1.94484e+06 1215.5,915575 1.94484e+06 1215.5,915582 1.94483e+06 1215.5,915587 1.94482e+06 1215.5,915592 1.94482e+06 1215.5,915600 1.94481e+06 1215.5,915604 1.9448e+06 1215.5,915607 1.9448e+06 1215.5,915615 1.94479e+06 1215.5,915625 1.94478e+06 1215.5,915628 1.94478e+06 1215.5,915630 1.94478e+06 1215.5,915640 1.94476e+06 1215.5,915650 1.94476e+06 1215.5,915653 1.94475e+06 1215.5,915656 1.94475e+06 1215.5,915666 1.94474e+06 1215.5,915675 1.94474e+06 1215.5,915682 1.94473e+06 1215.5,915697 1.94472e+06 1215.5,915699 1.94472e+06 1215.5,915700 1.94472e+06 1215.5,915716 1.94472e+06 1215.5,915725 1.94471e+06 1215.5,915732 1.94471e+06 1215.5,915741 1.9447e+06 1215.5,915746 1.9447e+06 1215.5,915750 1.94469e+06 1215.5,915760 1.94468e+06 1215.5,915771 1.94468e+06 1215.5,915773 1.94467e+06 1215.5,915775 1.94467e+06 1215.5,915787 1.94466e+06 1215.5,915799 1.94465e+06 1215.5,915800 1.94465e+06 1215.5,915800 1.94465e+06 1215.5,915813 1.94464e+06 1215.5,915825 1.94462e+06 1215.5,915825 1.94462e+06 1215.5,915825 1.94462e+06 1215.5,915838 1.94461e+06 1215.5,915850 1.9446e+06 1215.5,915850 1.9446e+06 1215.5,915851 1.9446e+06 1215.5,915864 1.94459e+06 1215.5,915875 1.94458e+06 1215.5,915878 1.94458e+06 1215.5,915882 1.94458e+06 1215.5,915893 1.94457e+06 1215.5,915900 1.94456e+06 1215.5,915908 1.94456e+06 1215.5,915919 1.94455e+06 1215.5,915923 1.94455e+06 1215.5,915925 1.94455e+06 1215.5,915938 1.94454e+06 1215.5,915950 1.94453e+06 1215.5,915954 1.94453e+06 1215.5,915960 1.94452e+06 1215.5,915970 1.94452e+06 1215.5,915975 1.94452e+06 1215.5,915986 1.94451e+06 1215.5,916000 1.9445e+06 1215.5,916003 1.9445e+06 1215.5,916011 1.9445e+06 1215.5,916021 1.9445e+06 1215.5,916025 1.94449e+06 1215.5,916040 1.94449e+06 1215.5,916050 1.94449e+06 1215.5,916058 1.94448e+06 1215.5,916075 1.94448e+06 1215.5,916077 1.94448e+06 1215.5,916085 1.94448e+06 1215.5,916096 1.94447e+06 1215.5,916100 1.94447e+06 1215.5,916115 1.94447e+06 1215.5,916125 1.94446e+06 1215.5,916133 1.94446e+06 1215.5,916146 1.94445e+06 1215.5,916149 1.94445e+06 1215.5,916150 1.94445e+06 1215.5,916163 1.94444e+06 1215.5,916175 1.94443e+06 1215.5,916179 1.94443e+06 1215.5,916186 1.94442e+06 1215.5,916195 1.94442e+06 1215.5,916200 1.94442e+06 1215.5,916213 1.94441e+06 1215.5,916225 1.94441e+06 1215.5,916235 1.94441e+06 1215.5,916250 1.94441e+06 1215.5,916268 1.94442e+06 1215.5,916275 1.94442e+06 1215.5,916279 1.94442e+06 1215.5,916501 1.94472e+06 1215.5,916500 1.94472e+06 1215.5,916482 1.9447e+06 1215.5,916475 1.94469e+06 1215.5,916465 1.94468e+06 1215.5,916450 1.94465e+06 1215.5,916449 1.94465e+06 1215.5,916444 1.94464e+06 1215.5,916429 1.94462e+06 1215.5,916425 1.94462e+06 1215.5,916408 1.9446e+06 1215.5,916400 1.94459e+06 1215.5,916389 1.94458e+06 1215.5,916375 1.94455e+06 1215.5,916372 1.94455e+06 1215.5,916369 1.94454e+06 1215.5,916357 1.94452e+06 1215.5,916350 1.94451e+06 1215.5,916343 1.9445e+06 1215.5,916331 1.94448e+06 1215.5,916327 1.94448e+06 1215.5,916325 1.94447e+06 1215.5,916308 1.94445e+06 1215.5,916300 1.94444e+06 1215.5)
10;LINESTRING(916610 1.94498e+06 1215.5,916614 1.94496e+06 1215.5,916619 1.94495e+06 1215.5,916620 1.94494e+06 1215.5,916623 1.94492e+06 1215.5,916623 1.94492e+06 1215.5,916624 1.9449e+06 1215.5,916624 1.9449e+06 1215.5,916620 1.94488e+06 1215.5,916619 1.94487e+06 1215.5,916614 1.94485e+06 1215.5,916607 1.94483e+06 1215.5,916604 1.94482e+06 1215.5,916600 1.94482e+06 1215.5,916588 1.9448e+06 1215.5,916575 1.94479e+06 1215.5,916558 1.94478e+06 1215.5,916550 1.94477e+06 1215.5)
